count_id;site_id;site_name;longitude_epsg_4326;latitude_epsg_4326;species_id;common_name;year;penguin_sum
TWGI_1987_CHIN;TWGI;Three islands west of Gerlache Island;-64,247;-64,592;CHIN;chinstrap penguin;1987;1700
TWGI_2020_CHIN;TWGI;Three islands west of Gerlache Island;-64,247;-64,592;CHIN;chinstrap penguin;2020;1664
TXRX_2015_GENT;TXRX;Tuxen Rocks;-64,133;-65,255;GENT;gentoo penguin;2015;50
TXRX_2016_GENT;TXRX;Tuxen Rocks;-64,133;-65,255;GENT;gentoo penguin;2016;39
TXRX_2020_GENT;TXRX;Tuxen Rocks;-64,133;-65,255;GENT;gentoo penguin;2020;41
TXRX_2024_GENT;TXRX;Tuxen Rocks;-64,133;-65,255;GENT;gentoo penguin;2024;34
UFSI_2008_ADEL;UFSI;Ufs Island;61,141;-67,469;ADEL;adelie penguin;2008;2300
UICW_1987_CHIN;UICW;Unnamed island off Cape Wallace;-62,178;-63,232;CHIN;chinstrap penguin;1987;50000
UIEL_1987_CHIN;UIEL;Unnamed island off Elephant Point;-60,87;-62,697;CHIN;chinstrap penguin;1987;500
UIEL_1987_GENT;UIEL;Unnamed island off Elephant Point;-60,87;-62,697;GENT;gentoo penguin;1987;50
UMBE_1990_EMPE;UMBE;Umebosi;43,017;-68,046;EMPE;emperor penguin;1990;235
UMBE_2009_EMPE;UMBE;Umebosi;43,017;-68,046;EMPE;emperor penguin;2009;146
USEF_2009_CHIN;USEF;Useful Island;-62,864;-64,717;CHIN;chinstrap penguin;2009;198
USEF_2010_CHIN;USEF;Useful Island;-62,864;-64,717;CHIN;chinstrap penguin;2010;266
USEF_2009_GENT;USEF;Useful Island;-62,864;-64,717;GENT;gentoo penguin;2009;1400
USEF_2010_GENT;USEF;Useful Island;-62,864;-64,717;GENT;gentoo penguin;2010;2680
VAPO_1987_CHIN;VAPO;Vapour Col (Deception Island);-60,721;-62,992;CHIN;chinstrap penguin;1987;15000
VERN_2009_GENT;VERN;Vernadsky Station;-64,257;-65,245;GENT;gentoo penguin;2009;13
VERN_2017_GENT;VERN;Vernadsky Station;-64,257;-65,245;GENT;gentoo penguin;2017;247
VIET_1987_CHIN;VIET;Vietor Rock;-61,098;-62,683;CHIN;chinstrap penguin;1987;200
VORT_1945_ADEL;VORT;Vortex Island;-57,642;-63,726;ADEL;adelie penguin;1945;300
VORT_1947_ADEL;VORT;Vortex Island;-57,642;-63,726;ADEL;adelie penguin;1947;275
VORT_2022_ADEL;VORT;Vortex Island;-57,642;-63,726;ADEL;adelie penguin;2022;6937
VRNW_1987_CHIN;VRNW;Vietor Rock (northwest);-61,094;-62,676;CHIN;chinstrap penguin;1987;100
WABL_1987_CHIN;WABL;Cape Wallace Bluff (south);-62,266;-63,282;CHIN;chinstrap penguin;1987;75000
WALL_1987_CHIN;WALL;Cape Wallace;-62,209;-63,233;CHIN;chinstrap penguin;1987;225000
WALL_1987_GENT;WALL;Cape Wallace;-62,209;-63,233;GENT;gentoo penguin;1987;550
WALL_2020_GENT;WALL;Cape Wallace;-62,209;-63,233;GENT;gentoo penguin;2020;4752
WASH_1968_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;1968;3150
WASH_1983_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;1983;16384
WASH_1986_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;1986;19364
WASH_2000_EMPE;WASH;Cape Washington;165,382;-74,637;EMPE;emperor penguin;2000;17397
