count_id;site_id;site_name;longitude_epsg_4326;latitude_epsg_4326;species_id;common_name;year;penguin_sum
BEAN_2005_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2005;1850
BEAN_2006_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2006;2467
BEAN_2007_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2007;2354
BEAN_2008_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2008;2792
BEAN_2009_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2009;1641
BEAN_2010_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2010;3202
BEAN_2011_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2011;667
BEAN_2012_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2012;1517
BEAN_2018_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2018;879
BEAR_2009_EMPE;BEAR;Bear Peninsula;-110,192;-74,392;EMPE;emperor penguin;2009;9457
BEAU_1981_ADEL;BEAU;Beaufort Island;166,898;-76,969;ADEL;adelie penguin;1981;34644
BECH_1990_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1990;1498
BECH_1991_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1991;1304
BECH_1992_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1992;1190
BECH_1993_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1993;1816
BECH_1994_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1994;34
BECH_1995_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1995;727
BECH_1996_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1996;1750
BECH_1997_ADEL;BECH;Bechervaise Island;62,817;-67,583;ADEL;adelie penguin;1997;1556
